dateV,epiweekV,V10mucomponentofwind_ind,V10mvcomponentofwind_ind,V2mdewpointtemperature_k,V2mtemperature_k,VLeafareaindexHIGH_ind,VLeafareaindexLOW_ind,VSurfacepressure_pa,VTotalprecipitation_m,WindSpeed_msminus1,WindDirection_deg,VaporPressure_kpa,SaturatedVaporPressure_kpa,AbsoluteHumidity_gmminus3,RelativeHumidity1_perc,RelativeHumidity2_perc
01-01-12,1,-1.848025513,-2.815802002,297.0144882,299.423909,2.035816216,2.567007637,100804.7879,0.001524315,3.368076485,57,0.963894201,1.051510563,6.969253927,86.62483689,91.66757191
02-01-12,1,-1.386165428,-3.89883728,296.6650635,299.4086182,2.036194634,2.572093201,100788.1512,0.001050003,4.137920581,64,0.951053287,1.050959577,6.876761299,84.89804371,90.49380276
03-01-12,1,-2.764770508,-3.583071899,296.252565,299.4594696,2.036566949,2.577064896,100828.4172,0.001306395,4.525744159,46,0.935850139,1.052791698,6.765683169,82.56126672,88.89224151
04-01-12,1,-1.829473877,-4.306726074,295.7965118,299.1232437,2.036957574,2.582165718,100845.8035,0.000467242,4.679194818,57,0.918985567,1.040664722,6.651229155,81.92385531,88.30755455
05-01-12,1,-1.775811768,-4.412826538,296.1316498,299.086795,2.037335992,2.587187195,100899.991,0.000957239,4.756736853,58,0.931384524,1.039348232,6.741789037,83.78546636,89.61236428
06-01-12,1,-1.177885437,-5.490219116,295.6845154,299.3444199,2.03771441,2.59222908,100910.093,0.000296704,5.615150937,67,0.914834951,1.048645573,6.616296726,80.31127824,87.23967123
07-01-12,1,-1.219981384,-6.427886963,295.780439,298.0500153,2.038086724,2.597291946,101001.4102,0.002784129,6.542635966,67,0.918390123,1.001747498,6.670853232,87.23409903,91.67880374
08-01-12,2,0.299512172,-5.72808609,295.5432594,297.9807068,2.038501763,2.602326965,100914.1758,0.005660505,5.735911244,96,0.909594866,0.999223292,6.608504356,86.34270978,91.03019041
09-01-12,2,-0.127303743,-5.40322876,295.2193817,298.3331482,2.038880181,2.607365417,100771.566,0.002198307,5.404728233,87,0.897558627,1.01204532,6.51335363,82.89681558,88.68759228
10-01-12,2,0.737802792,-3.746084595,295.9141296,298.0990997,2.039234185,2.612459183,100729.3371,0.007842066,3.8180496,105,0.923340662,1.003534342,6.705707863,87.68727516,92.00887542
11-01-12,2,1.133942354,-4.93352356,296.0634171,298.1355103,2.039618707,2.61744709,100715.6199,0.002505572,5.062161591,112,0.928862736,1.004859378,6.744987777,88.292178,92.43708682
12-01-12,2,1.009971333,-4.569180298,296.3300941,298.3248672,2.039997125,2.622541809,100627.2996,0.001190811,4.679471197,110,0.938711247,1.011744449,6.812176761,88.72152676,92.78145759
13-01-12,2,1.853228951,-4.003686905,295.999802,298.2445709,2.040375543,2.627601624,100598.7359,0.003453405,4.411798542,123,0.926510419,1.008826067,6.725446158,87.38271493,91.84045199
14-01-12,2,-1.169152832,-0.687695885,296.9133667,299.509108,2.040778375,2.632632637,100483.1086,0.000593516,1.356408484,67,0.960181649,1.054579431,6.940436233,85.66750359,91.04877452
15-01-12,3,0.814486241,0.576385706,297.3251389,300.1284485,2.041138482,2.637658882,100390.2934,0.000425542,0.997801743,106,0.975281398,1.076828614,7.035034124,84.66847297,90.56978846
16-01-12,3,-2.186010742,0.342746735,297.1764175,300.5421326,2.041272759,2.639933777,100320.3066,0.000365196,2.212717399,52,0.969833254,1.091631798,6.986105794,81.90409515,88.84252506
17-01-12,3,-0.218667603,-1.525883484,296.7031906,299.3000885,2.04139483,2.64215889,100477.4664,0.00360093,1.541472,86,0.952456082,1.047047008,6.889401653,85.64084714,90.96593325
18-01-12,3,-1.846505737,-1.765107918,296.692263,299.3005875,2.041547418,2.644435501,100549.3492,0.003251929,2.554445028,57,0.95205407,1.047065003,6.886482299,85.58193457,90.92597569
19-01-12,3,-1.961524963,-1.791654205,296.9409309,299.6908203,2.041706109,2.646725655,100460.1781,0.004234199,2.656615323,55,0.961193921,1.061118092,6.943540685,84.89492293,90.58312442
20-01-12,3,-0.0412714,-2.357322121,296.3388664,298.8200958,2.041834283,2.648985672,100577.041,0.007424577,2.357683378,89,0.939034869,1.029704217,6.803232068,86.19386223,91.19462206
21-01-12,3,1.337549496,-2.124884033,296.3052002,298.169278,2.04196856,2.65122261,100619.9301,0.008470998,2.510810787,115,0.937792755,1.006087909,6.809062415,89.41314186,93.21181049
